fact_id,company,metric,period,period_type,scope,attribution,value,unit,currency,status,audit_status,source_file,locator_type,locator,source_line_item,formula,input_fact_ids,notes
ex_rev_growth,示例设备公司,rev_growth,FY2025,fy,consolidated,na,71.68,percent,N/A,reported,audited,example-source.txt,text_line,1,营业收入同比增长率,,,
ex_nps_growth,示例设备公司,nps_growth,FY2025,fy,consolidated,parent,152.52,percent,N/A,reported,audited,example-source.txt,text_line,2,扣除非经常性损益后的归母净利润同比增长率,,,
ex_gm,示例设备公司,gross_margin_total,FY2025,fy,consolidated,na,52.21,percent,N/A,reported,audited,example-source.txt,text_line,3,综合毛利率,,,
ex_nm,示例设备公司,net_margin_parent,FY2025,fy,consolidated,parent,25.28,percent,N/A,reported,audited,example-source.txt,text_line,4,归母净利率,,,
ex_roe,示例设备公司,roe_weighted_parent,FY2025,fy,consolidated,parent,12.22,percent,N/A,reported,audited,example-source.txt,text_line,5,加权平均净资产收益率,,,
ex_cashconv,示例设备公司,cash_conversion_parent_fy,FY2025,fy,consolidated,parent,0.72,ratio,N/A,reported,audited,example-source.txt,text_line,6,经营现金流净额/归母净利润,,,
ex_fcf,示例设备公司,fcf_long_term_assets_margin,FY2025,fy,consolidated,na,2.40,percent,N/A,reported,audited,example-source.txt,text_line,7,长期资产口径自由现金流率,,,
ex_cashratio,示例设备公司,cash_receipts_to_revenue,FY2025,fy,consolidated,na,0.726,ratio,N/A,reported,audited,example-source.txt,text_line,8,销售收现比,,,
ex_debt,示例设备公司,debt_to_assets,FY2025,fy,consolidated,na,24.9,percent,N/A,reported,audited,example-source.txt,text_line,9,资产负债率,,,
ex_current,示例设备公司,current_ratio,FY2025,fy,consolidated,na,3.23,ratio,N/A,reported,audited,example-source.txt,text_line,10,流动比率,,,
ex_netcash,示例设备公司,net_cash_to_assets,FY2025,fy,consolidated,na,18.0,percent,N/A,reported,audited,example-source.txt,text_line,11,净现金/总资产,,,
ex_recurring,示例设备公司,recurring_parent_profit_ratio,FY2025,fy,consolidated,parent,0.966,ratio,N/A,reported,audited,example-source.txt,text_line,12,扣非归母净利润/归母净利润,,,
ex_subsidy,示例设备公司,government_grant_pnl_ratio,FY2025,fy,consolidated,na,5.5,percent,N/A,reported,audited,example-source.txt,text_line,13,政府补助当期损益影响/利润总额,,,
ex_rdcap,示例设备公司,rd_capitalization_rate,FY2025,fy,consolidated,na,0,percent,N/A,reported,audited,example-source.txt,text_line,14,研发资本化率,,,
ex_rdintensity,示例设备公司,rd_expense_intensity,FY2025,fy,consolidated,na,8.55,percent,N/A,reported,audited,example-source.txt,text_line,15,研发费用/营业收入,,,
ex_cust,示例设备公司,top5_billed_customer_revenue_ratio,FY2025,fy,consolidated,na,58.28,percent,N/A,reported,audited,example-source.txt,text_line,16,前五大直接客户收入占比,,,
ex_supp,示例设备公司,top5_supplier_purchase_ratio,FY2025,fy,consolidated,na,41.34,percent,N/A,reported,audited,example-source.txt,text_line,17,前五大供应商采购占比,,,
ex_goodwill,示例设备公司,goodwill_to_parent_equity,FY2025,fy,consolidated,na,0,percent,N/A,reported,audited,example-source.txt,text_line,18,商誉/归母净资产,,,
ex_maxcust,示例设备公司,largest_billed_customer_revenue_ratio,FY2025,fy,consolidated,na,35,percent,N/A,reported,audited,example-source.txt,text_line,19,最大直接客户收入占比,,,
ex_maxsupp,示例设备公司,largest_supplier_purchase_ratio,FY2025,fy,consolidated,na,20,percent,N/A,reported,audited,example-source.txt,text_line,20,最大供应商采购占比,,,
ex_perf,示例设备公司,performance_commitment_flag,FY2025,fy,consolidated,na,0,ratio,N/A,reported,audited,example-source.txt,text_line,21,业绩承诺严重未达标筛查,,,
ex_audit,示例设备公司,audit_issue,FY2025,fy,consolidated,na,0,ratio,N/A,reported,audited,example-source.txt,text_line,22,审计及持续经营重大事项筛查,,,
ex_default,示例设备公司,debt_default,FY2025,fy,consolidated,na,0,ratio,N/A,reported,audited,example-source.txt,text_line,23,实质性或交叉违约筛查,,,
ex_ocf,示例设备公司,operating_cash_flow,FY2025,fy,consolidated,na,1,million,CNY,reported,audited,example-source.txt,text_line,24,经营活动产生的现金流量净额,,,
