fact_id,company,metric,period,period_type,scope,attribution,value,unit,currency,status,audit_status,source_file,locator_type,locator,source_line_item,formula,input_fact_ids,notes
f_rev,示例公司,revenue,FY2025,fy,consolidated,na,1000,million,CNY,reported,audited,FY2025-annual-report.pdf,pdf_page,10,营业收入,,,
f_cost,示例公司,cost_of_revenue,FY2025,fy,consolidated,na,600,million,CNY,reported,audited,FY2025-annual-report.pdf,pdf_page,10,营业成本,,,
f_gp,示例公司,gross_profit,FY2025,fy,consolidated,na,400,million,CNY,calculated,audited,,,,,f_rev-f_cost,f_rev;f_cost,
f_gm,示例公司,gross_margin_total,FY2025,fy,consolidated,na,40,percent,N/A,calculated,audited,,,,,(f_gp/f_rev)*100,f_gp;f_rev,
f_np_total,示例公司,net_profit_total,FY2025,fy,consolidated,total,120,million,CNY,reported,audited,FY2025-annual-report.pdf,pdf_page,10,净利润,,,
f_np_parent,示例公司,net_profit_parent,FY2025,fy,consolidated,parent,100,million,CNY,reported,audited,FY2025-annual-report.pdf,pdf_page,10,归属于母公司股东的净利润,,,
f_np_nci,示例公司,net_profit_nci,FY2025,fy,consolidated,nci,20,million,CNY,calculated,audited,,,,,f_np_total-f_np_parent,f_np_total;f_np_parent,
f_ocf,示例公司,operating_cash_flow,FY2025,fy,consolidated,na,250,million,CNY,reported,audited,FY2025-annual-report.pdf,pdf_page,12,经营活动产生的现金流量净额,,,
f_lt_capex,示例公司,cash_paid_for_ppe_intangibles_and_other_long_term_assets,FY2025,fy,consolidated,na,100,million,CNY,reported,audited,FY2025-annual-report.pdf,pdf_page,12,购建固定资产无形资产和其他长期资产支付的现金,,,
f_fcf,示例公司,free_cash_flow_long_term_assets,FY2025,fy,consolidated,na,150,million,CNY,calculated,audited,,,,,f_ocf-f_lt_capex,f_ocf;f_lt_capex,
f_icf,示例公司,investing_cash_flow,FY2025,fy,consolidated,na,-180,million,CNY,reported,audited,FY2025-annual-report.pdf,pdf_page,12,投资活动产生的现金流量净额,,,
f_fin_cf,示例公司,financing_cash_flow,FY2025,fy,consolidated,na,-20,million,CNY,reported,audited,FY2025-annual-report.pdf,pdf_page,12,筹资活动产生的现金流量净额,,,
f_fx,示例公司,fx_effect_on_cash_and_equivalents,FY2025,fy,consolidated,na,0,million,CNY,reported,audited,FY2025-annual-report.pdf,pdf_page,12,汇率变动对现金及现金等价物的影响,,,
f_cash_change,示例公司,net_change_in_cash_and_equivalents,FY2025,fy,consolidated,na,50,million,CNY,reported,audited,FY2025-annual-report.pdf,pdf_page,12,现金及现金等价物净增加额,,,
f_assets,示例公司,assets,2025-12-31,instant,consolidated,na,1500,million,CNY,reported,audited,FY2025-annual-report.pdf,pdf_page,11,资产总计,,,
f_liabilities,示例公司,liabilities,2025-12-31,instant,consolidated,na,500,million,CNY,reported,audited,FY2025-annual-report.pdf,pdf_page,11,负债合计,,,
f_equity,示例公司,equity_total,2025-12-31,instant,consolidated,total,1000,million,CNY,reported,audited,FY2025-annual-report.pdf,pdf_page,11,所有者权益合计,,,
